# Seeders Kecamatan
kode	kecamatan
3603020	TIGARAKSA
3603051	KELAPA DUA
3603160	MAUK
3603200	TELUKNAGA
3603040	PANONGAN
3603060	LEGOK
3603141	GUNUNG KALER
3603170	RAJEG
3603010	CISOKA
3603081	CISAUK
3603132	SUKAMULYA
3603140	KRESEK
3603151	MEKAR BARU
3603130	BALARAJA
3603131	JAYANTI
3603210	KOSAMBI
3603011	SOLEAR
3603021	JAMBE
3603070	PAGEDANGAN
3603162	SUKADIRI
3603180	SEPATAN
3603030	CIKUPA
3603050	CURUG
3603120	PASARKEMIS
3603150	KRONJO
3603161	KEMIRI
3603181	SEPATAN TIMUR
3603190	PAKUHAJI
3603121	SINDANG JAYA


# Seders Desa
full_code_kecamatan	full_code_desa	desa_nama
3603120	3603120008	GELAM JAYA
3603120	3603120009	KUTA BARU
3603120	3603120010	KUTA BUMI
3603120	3603120011	PANGADEGAN
3603120	3603120012	SINDANG SARI
3603150	3603150002	BLUKBUK
3603150	3603150003	BAKUNG
3603150	3603150004	PASIR
3603150	3603150005	CIRUMPAK
3603150	3603150006	PAGEDANGAN UDIK
3603150	3603150007	PASILIAN
3603150	3603150008	PAGENJAHAN
3603150	3603150016	MUNCUNG
3603150	3603150017	KRONJO
3603150	3603150018	PAGEDANGAN ILIR
3603161	3603161001	LEGOK SUKAMAJU
3603161	3603161002	RANCA LABUH
3603161	3603161003	KEMIRI
3603161	3603161004	KELEBET
3603161	3603161005	PATRA MANGGALA
3603161	3603161006	KARANG ANYAR
3603161	3603161007	LONTAR
3603181	3603181001	LEBAK WANGI
3603181	3603181002	KEDAUNG BARAT
3603181	3603181003	JATI MULYA
3603181	3603181004	TANAH MERAH
3603181	3603181005	SANGIANG
3603181	3603181006	GEMPOL SARI
3603181	3603181007	PONDOK KELOR
3603181	3603181008	KAMPUNG KELOR
3603190	3603190001	BUNISARI
3603190	3603190002	RAWA BONI
3603190	3603190003	KIARA PAYUNG
3603190	3603190004	GAGA
3603190	3603190005	LAKSANA
3603190	3603190006	BUARAN BAMBU
3603190	3603190007	PAKU HAJI
3603190	3603190008	PAKU ALAM
3603190	3603190009	BUARAN MANGGA
3603190	3603190010	SURYA BAHARI
3603190	3603190011	SUKAWALI
3603190	3603190012	KRAMAT
3603190	3603190013	KALIBARU
3603190	3603190014	KOHOD
3603121	3603121001	WANA KERTA
3603121	3603121002	SUKA HARJA
3603121	3603121003	SINDANG PANON
3603121	3603121004	SINDANG JAYA
3603121	3603121005	SINDANG ASIH
3603121	3603121006	SINDANG SONO
3603121	3603121007	BADAK ANOM
